objectid,display_template,object_location,title,creator,date,dimensions,rights,rightsstatement,description,identifier,name,languagegroup,birthdate,exhibitions,publications,provenance
W_9428,record,https://twocollections.com/artists/40-warlimpirrnga-tjapaltjarri/works/9428-warlimpirrnga-tjapaltjarri-untitled-2015/,Untitled,Warlimpirrnga Tjapaltjarri,2015,96 1/8 x 72 inches (244 x 183 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.
Image Courtesy of the artist and Salon 94",https://rightsstatements.org/vocab/InC-EDU/1.0/,"“Warlimpirrnga Tjapaltjarri lived a nomadic existence untouched by European contact until 1984, when he and eight other family members walked in from the Gibson Desert to the remote community of Kiwirrkurra in Western Australia. With the art movement in this region having begun over ten years prior, Warlimpirrnga entered into this stream of artists with a great measure of reverence and respect. Almost immediately, his paintings had the resolve and strength of the veteran and most senior Papunya Tula artists. His depiction of the sites and narratives of his homelands around Lake Mackay, a vast salt lake, draws from the ancestral realm and the power of these places.” (Vanessa Merlino and Luke Scholes, 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, 2023, p. 22)",WT1502070,Warlimpirrnga Tjapaltjarri,Pintupi,c. 1957,"Warlimpirrnga Tjapaltjarri: Maparntjarra, Salon 94, New York, 09/09/2015–10/25/2015; Twenty Aboriginal Paintings, UOVO Art, New York, 01/15/2015–01/19/2015; 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, UOVO Art, New York, 05/15/2023–05/20/2023","Martin, Steve. Twenty Aboriginal Paintings. UOVO Art, 2019, p. 9 (illus.); Merlino, Vanessa, and Luke Scholes. 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art. UOVO, 2023 (illus.)","The Artist, painted at Kiwirrkura, Western Australia; Papunya Tula Artists, Alice Springs, Northern Territory, cat. no. WT1502070; Salon 94, New York, cat. no. WTJ11; Collection of Steve Martin & Anne Stringfield, New York"
W_9429,record,https://twocollections.com/artists/40-warlimpirrnga-tjapaltjarri/works/9429-warlimpirrnga-tjapaltjarri-untitled-2017/,Untitled,Warlimpirrnga Tjapaltjarri,2017,95 x 72 inches (241.3 x 182.9 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.
Image Courtesy of the artist and Salon 94",https://rightsstatements.org/vocab/InC-EDU/1.0/,"""This painting depicts designs associated with the salt lake site of Wilkinkarra (Lake Mackay) in Western Australia. In mythological times two Tingari Men travelled Wilkinkarra from the soakage water site of Marawa in the west. When the men arrived at Wilkinkarra they lit a large fire in order to flush out the malu (kangaroo). They later entered the earth and continued their travels underground towards the east. This story forms part of the Tingari Cycle. Since events associated with the Tingari Cycle are of a secret nature no further detail was given. Generally, the Tingari are a group of ancestral beings of the Dreaming who travelled over vast stretches of the country, performing rituals and creating and shaping particular sites. The Tingari men were usually followed by Tingari women and were accompanied by novices, and their travels and adventures are enshrined in a number of song cycles. These ancestral stories form part of the teachings of the post initiatory youths today as well as providing explanations for contemporary customs."" (Papunya Tula Artists, cat. no. WT1710031)",WT1710031,Warlimpirrnga Tjapaltjarri,Pintupi,c. 1957,"Twenty Aboriginal Paintings, UOVO Art, New York, 01/15/2015–01/19/2015; 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, UOVO Art, New York, 05/15/2023–05/20/2023; Art Basel Miami Beach, Salon 94, Miami, 12/07/2017–12/10/2017","Merlino, Vanessa, and Luke Scholes. 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art. UOVO, 2023 (illus.); Martin, Steve. Twenty Aboriginal Paintings. UOVO, 2019, p. 11 (illus.)","The Artist, painted at Kiwirrkura, Western Australia; Papunya Tula Artists, Alice Springs, Northern Territory, cat. no. WT1710031; Salon 94, New York, cat. no. WTj 50; Collection of Steve Martin & Anne Stringfield, New York"
W_9368,record,https://twocollections.com/artworks/categories/2/9368-yukultji-napangati-untitled-2016/,Untitled,Yukultji Napangati,2016,60 1/4 x 48 inches (153 x 122 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.
Image Courtesy of the artist and Salon 94",https://rightsstatements.org/vocab/InC-EDU/1.0/,"""This painting depicts designs associated with the site of Marrapinti, west of the Kiwirrkura Community and the Pollock Hills in Western Australia. A large group of ancestral women camped at this rockhole before continuing their travels further east, passing through Wala Wala, Kiwirrkura and Ngaminya. The sinuous lines that culminate in a roundel represent the creek and cave at Marrapinti, as well as the surrounding tali (sandhills)."" — Papunya Tula Artists",YN1606058,Yukultji Napangati,Pintupi,c. 1971,"Twenty Aboriginal Paintings, UOVO Art, New York, 01/15/2015–01/19/2015; 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, UOVO Art, New York, 05/15/2023–05/20/2023","Martin, Steve. Twenty Aboriginal Paintings. UOVO, 2019, p. 11 (illus.)","The Artist, painted at Kiwirrkura, Western Australia; Papunya Tula Artists, Alice Springs, Northern Territory, cat. no. YN1606058; Salon 94, New York, cat. no. YN 10; Collection of Steve Martin & Anne Stringfield, New York"
W_9457,record,https://twocollections.com/artists/36-yukultji-napangati/works/9457-yukultji-napangati-untitled-2018/,Untitled,Yukultji Napangati,2018,71 3/4 x 59 3/4 inches (182.2 x 151.8 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.
Image Courtesy of the artist and Salon 94",https://rightsstatements.org/vocab/InC-EDU/1.0/,,YN1810025,Yukultji Napangati,Pintupi,c. 1971,"Yukultji Napangati, Utopia Art Sydney, 2014; Yukultji Napangati, Salon 94, New York, 01/18/2019–03/02/2019",,"The Artist, painted at Kiwirrkura, Western Australia; Papunya Tula Artists, Alice Springs, Northern Territory, cat. no. YN1810025; Salon 94, New York, cat. no. YN23; Collection of Steve Martin & Anne Stringfield, New York"
W_9522,record,https://twocollections.com/artworks/categories/2/9522-yukultji-napangati-untitled-2017/,Untitled,Yukultji Napangati,2017,72 x 60 1/4 inches (183 x 153 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.
Image Courtesy of the artist and Salon 94",https://rightsstatements.org/vocab/InC-EDU/1.0/,,YN1703054,Yukultji Napangati,Pintupi,c. 1971,,"Merlino, Vanessa, and Luke Scholes. 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art. UOVO, 2023 (illus.)","The Artist, painted at Kiwirrkura, Western Australia; Papunya Tula Artists, Alice Springs, Northern Territory, cat. no. YN1703054; D’Lan Contemporary, Melbourne; Collection of Steve Martin & Anne Stringfield, New York"
W_9503,record,https://twocollections.com/artworks/categories/2/9503-timo-hogan-lake-baker-2020/,Lake Baker,Timo Hogan,2020,78 3/4 x 114 1/8 inches (200 x 290 cm),"© Timo Hogan/Copyright Agency. Licensed by Artists Rights Society, NY, 2026",https://rightsstatements.org/vocab/InC-EDU/1.0/,"""Timo Hogan calmly applies the paint to Lake Baker with the quiet authority of someone recreating the country they know intimately. He surveys the Wati Kutjara Tjukurpa (Two Men Creation Line) of his birthright and brings this into focus on the two dimensional plane. It is this narrative within Lake Baker that forms a major portion and is where the two men encounter a powerful Wanampi (water serpent) that resides there. In this composition Timo has depicted the Two Men as the physical manifestation of two small grass knolls upon the lake and has the ever present and larger than life Wanampi already having entered his kapi piti ngura (home in the waterhole) after being out in search of food. These characters are the creation beings who shaped the landscape as they moved through it, leaving not only the indelible physical reminders of their power and presence but a moral drama for all to follow, that is also etched within the world"" 

— © Spinifex Arts Project",20-126,Timo Hogan,Pitjantjatjara; Ngaanyatjarra ,1973,"60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, UOVO Art, New York, 05/15/2023–05/20/2023; Selections from Australia’s Western Desert, National Arts Club Gramercy Park, New York, 09/12/2022–10/27/2022","Merlino, Vanessa, and Luke Scholes. 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art. UOVO, 2023 (illus.)","The Artist, painted at Tjuntjuntjara, Western Australia; Spinifex Arts Project, Western Australia, cat. no. 20-126; ReDot Fine Art Gallery, Singapore; Collection of Steve Martin & Anne Stringfield, New York"
W_9513,record,https://twocollections.com/artworks/categories/2/9513-bobby-west-tjupurrula-untitled-wilkinkarra-2013/,Untitled- Wilkinkarra,Bobby West Tjupurrula,2013,60 1/4 x 48 inches (153 x 122 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.",https://rightsstatements.org/vocab/InC-EDU/1.0/,"""This painting depicts designs associated with the lake site of Wilkinkarra (Lake Mackay) and rockhole site of Pinari. In ancestral times a large group of Tingarri Men travelled to these sites from Yunala, west of Kiwirrkurra, to perform the dances and sing the songs associated with the region. The lower lines in this painting depict the sandhills the men passed on their journey from Yunala, while the upper canvas is dominated by the shape of Wilkinkarra. Just below this shape sits the rockhole site of Pinari. Since events associated with the Tingarri Cycle are of a secret nature no further detail was given...These stories form part of the teachings of the post initiatory youths today as well as providing explanations for contemporary customs.""— Papunya Tula Artists",BW1303040,Bobby West Tjupurrula,Pintupi ,1958,"Significant part II, D'Lan Contemporary, Melbourne, 06/02/2023–06/22/2023","Merlino, Vanessa. Significant Part II. D'Lan Contemporary, 2023, pp. 44–45 (illus.)","The Artist, painted at Kintore, Northern Territory; Papunya Tula Artists, Alice Springs, Northern Territory, cat. no. BW1303040; Private Collection, Melbourne; D’Lan Contemporary, Melbourne; Collection of Steve Martin & Anne Stringfield, New York"
W_9512,record,https://twocollections.com/artworks/categories/2/9512-daniel-walbidi-kirriwirri-2024/,Kirriwirri,Daniel Walbidi,2024,60 1/4 x 48 inches (153 x 122 cm),"© Daniel Walbidi/Copyright Agency. Licensed by Artists Rights Society (ARS), New York, 2026",https://rightsstatements.org/vocab/InC-EDU/1.0/,"""Kirriwirri is a jila (living water) near well 33 on the Canning Stock Route in the Great Sandy Desert. Daniel's painting reflects the complex desert landscape full of life and colour. He depicts saltlakes (white areas) and the talis (sandhills).
'Kiriwirri is the birthplace of my father's family — it is the family home...Kiriwirri is also important to many other family and clan groups because it is a living jila meaning it has water that never dries out even during the driest of seasons. I have never been to Kiriwirri but I have a deep desire within to travel and see this country to become connected… I also paint another important place called Wirnpa. Wirnpa and Kiriwirri are very important to me because I am related to two of these jila. Kiriwirri is my grandfather and Wirnpa is my grandfather — they are also related to each other being brothers in law.'""
— The Artist and Short St Gallery",841733,Daniel Walbidi,Yulparitja; Mangala,1983,"Yurlupirti Forever Without End (Eternal): Daniel Walbidi, D'Lan Contemporary, New York, 04/26/2024–05/31/2024","Merlino, Vanessa, and Isabella Wadley. Yurlupirti Forever Without End (Eternal): Daniel Walbidi. D'Lan Contemporary, pp. 22–23 (illus.)","The Artist; Short St Gallery, Western Australia, cat. no. 841733; D'Lan Contemporary, Melbourne; Collection of Steve Martin & Anne Stringfield, New York"
W_9440,record,https://twocollections.com/artworks/categories/2/9440-yinarupa-nangala-untitled-2008/,Untitled,Yinarupa Nangala,2008,96 x 72 inches (244 x 183 cm),"© The Estate of the Artist, by permission of Papunya Tula Artists through the Aboriginal Artists Agency.",https://rightsstatements.org/vocab/InC-EDU/1.0/,"""This painting depicts designs associated with the rockhole site of Mukula, east of Jupiter Well in Western Australia. The lines running through the centre of the painting depict the tali (sandhills) surrounding the site whilst the two large roundels represent the rockholes at Mukula itself. During ancestral times a large group of women came from the west and stopped at this site to perform the ceremonies associated with the area. The women, represented in the painting by the small 'U' shapes, later continued their travels towards the east, passing through Ngaminya, Kiwirrkura and Wirrulnga on their way to Wilkinkarra (Lake Mackay). As the women travelled they gathered a variety of bush foods including kampurarrpa berries (desert raisin) and pura (bush tomato)… The various shapes in the painting represent the features of the country through which the women travelled.""",YN 0807258,Yinarupa Nangala,Pintupi ,c.1959,"Twenty Aboriginal Paintings, UOVO Art, New York, 01/15/2015–01/19/2015; 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, UOVO Art, New York, 05/15/2023–05/20/2023; Western Australian Indigenous Art Awards, Art Gallery of Western Australia, Perth, 2009","Martin, Steve. Twenty Aboriginal Paintings. UOVO Art, 2019 (illus.); Merlino, Vanessa, and Luke Scholes. 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art. UOVO, 2023 (illus.)","The Artist painted at Kiwirrkurra, Western Australia; Papunya Tula Artists, Northern Territory, cat. no. YN 0807258; Private Collection, Melbourne; D'Lan Contemporary, Melbourne; Collection of Steve Martin & Anne Stringfield, New York"
W_9509,record,https://twocollections.com/artworks/categories/2/9509-angelina-pwerle-bush-plum-2002/,Bush Plum,Angelina Pwerle,2002,77 3/4 x 49 inches (197.5 x 124.5 cm),"© Copyright Agency. Licensed by Artists Rights Society (ARS), New York, 2026",https://rightsstatements.org/vocab/InC-EDU/1.0/,,5307,Angelina Pwerle,Anmatyerr,1946,,,"The Artist, painted at Utopia, Northern Territory, Artlore (Mark Gooch), Northern Territory, cat. no. 5307, Niagara Galleries, Melbourne, Martin Browne Contemporary, Sydney, acquired from the above, D’Lan Contemporary, Melbourne, Collection of Steve Martin & Anne Stringfield, New York"
